"","length","habitat"
"1",489.613778176524,"Seagrass"
"2",563.143390096667,"Seagrass"
"3",497.96906613118,"Seagrass"
"4",479.937417352527,"Seagrass"
"5",463.296759628737,"Seagrass"
"6",546.399504778674,"Seagrass"
"7",547.48713803934,"Seagrass"
"8",560.785961281195,"Seagrass"
"9",555.290260222342,"Seagrass"
"10",490.811621961266,"Seagrass"
"11",469.983741108436,"Seagrass"
"12",584.891609241188,"Seagrass"
"13",501.814714823974,"Seagrass"
"14",473.92456863974,"Seagrass"
"15",553.953170150209,"Seagrass"
"16",477.331989672408,"Seagrass"
"17",524.246808310301,"Seagrass"
"18",541.183073046071,"Seagrass"
"19",492.217034306606,"Seagrass"
"20",450.741320642947,"Seagrass"
"21",514.24093719767,"Seagrass"
"22",521.175242495872,"Seagrass"
"23",588.288590110838,"Seagrass"
"24",500.291457505655,"Seagrass"
"25",484.609950591656,"Seagrass"
"26",478.143855280592,"Seagrass"
"27",513.361253833505,"Seagrass"
"28",539.263767243485,"Seagrass"
"29",544.671919851142,"Seagrass"
"30",490.774964135204,"Seagrass"
"31",529.384594312093,"Seagrass"
"32",513.434528452647,"Seagrass"
"33",556.00672028112,"Seagrass"
"34",469.431982774926,"Seagrass"
"35",531.050121365141,"Seagrass"
"36",602.221671228214,"Seagrass"
"37",532.644347844682,"Seagrass"
"38",533.547116406429,"Seagrass"
"39",566.512900691767,"Seagrass"
"40",512.176585174758,"Seagrass"
"41",700.878260649633,"Reef"
"42",630.760876373307,"Reef"
"43",734.603314256136,"Reef"
"44",666.304851954112,"Reef"
"45",772.838136247332,"Reef"
"46",670.722827411326,"Reef"
"47",672.927012888465,"Reef"
"48",692.794016814677,"Reef"
"49",740.377015615456,"Reef"
"50",714.066965855346,"Reef"
"51",726.193121401118,"Reef"
"52",745.873912077039,"Reef"
"53",671.913907051555,"Reef"
"54",720.095057045857,"Reef"
"55",664.782748118657,"Reef"
"56",667.883334511267,"Reef"
"57",630.861474999722,"Reef"
"58",676.281669768748,"Reef"
"59",656.281925295465,"Reef"
"60",729.005978038646,"Reef"
"61",643.682765537877,"Reef"
"62",694.261215973651,"Reef"
"63",657.476461152706,"Reef"
"64",716.558520168767,"Reef"
"65",686.30028046903,"Reef"
"66",724.329400077788,"Reef"
"67",649.943252099927,"Reef"
"68",675.822214841262,"Reef"
"69",684.314150529564,"Reef"
"70",769.642719569359,"Reef"
"71",617.742866256061,"Reef"
"72",647.12793237471,"Reef"
"73",586.424284526035,"Reef"
"74",635.50063042922,"Reef"
"75",601.243946899709,"Reef"
"76",678.80938171785,"Reef"
"77",732.683258998984,"Reef"
"78",680.686998890502,"Reef"
"79",784.929192741565,"Reef"
"80",725.603286482006,"Reef"
